TC-120-20,TC-120-20,code128,Alfa Romeo,48,unidad,unidad,unidad,643,860.12,2,No Tax,exclusive,05122017_1426441.jpeg,66,Sportage| Besta| Mazda 323| 626| B2200| E2200| Suzuki Vitara| Grand Vitara| B2200| E2200 - Inyector 24mm - Camara de agua Frontal,2.0 8v TD (RF)-2.2 8v D (R2),10,25,0,21,30,,ILLINOIS
04320170 MLS,4320170,code128,Alfa Romeo,48,unidad,unidad,unidad,918,996.41,1,No Tax,exclusive,01082018_1001371.jpeg,66,Sportage| Besta| Mazda 323| 626| B2200| E2200| Suzuki Vitara| Grand Vitara| B2200| E2200 - Inyector 24mm - Camara de agua Frontal,2.0 8v TD (RF)-2.2 8v D (R2),31,0,0,21,30,,CICCARELLI
TC-441-20 3M,TC-441-20 3M,code128,Alfa Romeo,48,unidad,unidad,unidad,1.061,1251.22,1,No Tax,exclusive,23112018_0859441.jpeg,66,Montero| L200| L300 - (Esp. 1.50),2.5 8v D (4D56)-2.5 8v TD (4D56T),10,25,0,21,30,,ILLINOIS
TC-441-20 2M,TC-441-20 2M,code128,Alfa Romeo,48,unidad,unidad,unidad,1.061,1251.22,1,No Tax,exclusive,23112018_0859271.jpeg,66,Montero| L200| L300 - (Esp. 1.40),2.5 8v D (4D56)-2.5 8v TD (4D56T),10,25,0,21,30,,ILLINOIS
TC-441-20 4M,TC-441-20 4M,code128,Alfa Romeo,48,unidad,unidad,unidad,1.061,1251.22,1,No Tax,exclusive,23112018_0900011.jpeg,66,Montero| L200| L300 - (Esp. 1.60),2.5 8v D (4D56)-2.5 8v TD (4D56T),10,25,0,21,30,,ILLINOIS
TC-441-20 5M,TC-441-20 5M,code128,Alfa Romeo,48,unidad,unidad,unidad,1.061,1251.22,1,No Tax,exclusive,23112018_0900221.jpeg,66,Montero| L200| L300 - (Esp. 1.70),2.5 8v D (4D56)-2.5 8v TD (4D56T),10,25,0,21,30,,ILLINOIS
TC-441-20 6M,TC-441-20 6M,code128,Alfa Romeo,48,unidad,unidad,unidad,1.061,1251.22,1,No Tax,exclusive,23112018_0900401.jpeg,66,Montero| L200| L300 - (Esp. 1.80),2.5 8v D (4D56)-2.5 8v TD (4D56T),10,25,0,21,30,,ILLINOIS
TC-441-20 7M,TC-441-20 7M,code128,Alfa Romeo,48,unidad,unidad,unidad,1.061,1251.22,1,No Tax,exclusive,23112018_0900561.jpeg,66,Montero| L200| L300 - (Esp. 2.10),2.5 8v D (4D56)-2.5 8v TD (4D56T),10,25,0,21,30,,ILLINOIS
TC-441-MG 3M,TC-441-MG 3M,code128,Alfa Romeo,48,unidad,unidad,unidad,1.663,1961.66,1,No Tax,exclusive,21112018_1540111.jpeg,66,Montero| L200| L300 - (Esp. 1.50),2.5 8v D (4D56)-2.5 8v TD (4D56T),10,25,0,21,30,,ILLINOIS
TC-611-15,TC-611-15,code128,Alfa Romeo,48,unidad,unidad,unidad,600,802.78,1,No Tax,exclusive,16042018_1434491.jpeg,66,Tiida| X Trail - Renault Fluence| Laguna| Megane| Scenic,1.8 16v (MR18R)-2.0 16v (MR20R)-2.0 16V (M4R),10,25,0,21,30,,ILLINOIS
TC-611-11,TC-611-11,code128,Alfa Romeo,48,unidad,unidad,unidad,735,1156.21,1,No Tax,exclusive,22052018_0704111.jpeg,66,Tiida| X Trail - Renault Fluence| Laguna| Megane| Scenic - CHAPA,1.8 16v (MR18R)-2.0 16v (MR20R)-2.0 16V (M4R),10,25,0,21,30,,ILLINOIS
TC-282-20 1M,TC-282-20 1M,code128,Alfa Romeo,48,unidad,unidad,unidad,1.071,1263.51,1,No Tax,exclusive,18042018_1230581.jpeg,66,Pathfinder| Terrano - (Espesor 1|25),2.7 8v TD (TD27),10,25,0,21,30,,ILLINOIS
TC-282-20 2M,TC-282-20 2M,code128,Alfa Romeo,48,unidad,unidad,unidad,1.071,1263.51,1,No Tax,exclusive,18042018_1352071.jpeg,66,Pathfinder| Terrano - (Espesor 1|35),2.7 8v TD (TD27),10,25,0,21,30,,ILLINOIS
TC-282-20 3M,TC-282-20 3M,code128,Alfa Romeo,48,unidad,unidad,unidad,1.071,1263.51,1,No Tax,exclusive,18042018_1356081.jpeg,66,Pathfinder| Terrano - (Espesor 1|45),2.7 8v TD (TD27),10,25,0,21,30,,ILLINOIS
TC-282-MG 3M,TC-282-MG 3M,code128,Alfa Romeo,48,unidad,unidad,unidad,1.300,1533.68,1,No Tax,exclusive,12032019_1032051.jpeg,66,Pathfinder| Terrano - (Espesor 1|45),2.7 8v TD (TD27),10,25,0,21,30,,ILLINOIS
TC-428-15,8.00143E+12,code128,Alfa Romeo,48,unidad,unidad,unidad,377,445.35,3,No Tax,exclusive,02012019_0948331.jpeg,66,504| 505 - Gama| C/aire,2.0 8v (504/505)-2.0 8v (505 GAMA),10,25,0,21,30,,ILLINOIS
TC-616-15,8.00162E+12,code128,Alfa Romeo,48,unidad,unidad,unidad,419,659.50,1,No Tax,exclusive,20072018_1310551.jpeg,66,205| 405| 306| Partner - A 84.30mm,1.6 8v Carb. (XU5)-1.8 8v Iny. (XU7JP)-1.9 8v Carb. (XU9),10,25,0,21,30,,ILLINOIS
TC-785-15,7.89859E+12,code128,Alfa Romeo,48,unidad,unidad,unidad,536,631.76,1,No Tax,exclusive,15032019_1048311.jpeg,66,206| 207| 307| C3,1.6 16v (TU5JP4),10,25,0,21,30,,ILLINOIS
TC-783-15,TC-783-15,code128,Alfa Romeo,48,unidad,unidad,unidad,557,656.88,1,No Tax,exclusive,29052019_1343221.jpeg,66,Xsara| 307| 406| 607| 806| 807,2.0 16v (EW10J4),25,0,0,21,30,,ILLINOIS
